tick,node1,node3,node5
0,1.0,0.85,0.85
1,1.0,0.7,0.87
2,0.85,0.72,0.72
3,0.87,0.57,0.57
4,0.72,0.41999999999999993,0.41999999999999993
5,0.74,0.2699999999999999,0.2699999999999999
6,0.76,0.11999999999999991,0.2899999999999999
7,0.78,0.1,0.30999999999999994
8,0.8,0.1,0.32999999999999996
9,0.8200000000000001,0.1,0.35
